"DB_origin","sampCountryorigin","sampContinentorigin","sampContinent","paramType","sampCountry","sampRegion","sampInfolatitude","sampInfolongitude","sampInfoaltitude","sampY","sampYearIncreas","sampSize","sampMethod","sampPoint","sampPointInfo","sampMatType","sampMatbased","sampMatInfo","sampMatCode","growingSystem","anMethRefId","resUnit","resLOD","resLODinfo","resLOQ","resLOQinfo","exprResPerc","ToTresValUncertSD","meanTot","POSresValUncertSD","meanPos","median","medianinfo","min","max","LOD","IQRmin","IQRmax","Concentration","DataSampLevel","Co-occurrence","Ref"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1,1,"Monbaliu S et al, 2010_249"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,1,1,"Monbaliu S et al, 2010_250"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_251"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,1,"Monbaliu S et al, 2010_252"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_253"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_254"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_255"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,1,1,"Monbaliu S et al, 2010_256"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,1,"Monbaliu S et al, 2010_257"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,1,"Monbaliu S et al, 2010_258"
