DB_origin	sampCountryorigin	sampContinentorigin	sampContinent	paramType	sampCountry	sampRegion	sampInfolatitude	sampInfolongitude	sampInfoaltitude	sampY	sampYearIncreas	sampSize	sampMethod	sampPoint	sampPointInfo	sampMatType	sampMatbased	sampMatInfo	sampMatCode	growingSystem	anMethRefId	resUnit	resLOD	resLODinfo	resLOQ	resLOQinfo	exprResPerc	ToTresValUncertSD	meanTot	POSresValUncertSD	meanPos	median	medianinfo	min	max	LOD	IQRmin	IQRmax	Concentration	DataSampLevel	Co-occurrence	Ref
Palumbo	AT	EUROPE	EUROPE	DON	AT	-999	-999	-999	-999	2006	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	HPLC	µg/kg	4	-999	10	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3680	1	1	 Berthiller F et al, 2009_207
Palumbo	NL; BE; DE;FR	EUROPE	EUROPE	DON	NL; BE; DE;FR	-999	-999	-999	-999	2003	0	98	-999	preharvest	harvest	feed	maize 	silage	-999	conventional	LC-MS/MS	µg/kg	30	-999	100	-999	-999	-999	460	-999	-999	-999	-999	-999	4100	59	-999	-999	-999	0	0	Asselt, E. D. van et al, 2012
Palumbo	NL; BE; DE;FR	EUROPE	EUROPE	DON	NL; BE; DE;FR	-999	-999	-999	-999	2004	0	120	-999	preharvest	harvest	feed	maize 	silage	-999	conventional	LC-MS/MS	µg/kg	30	-999	100	-999	-999	-999	273	-999	-999	-999	-999	-999	2000	48	-999	-999	-999	0	0	Asselt, E. D. van et al, 2012
Palumbo	NL; BE; DE;FR	EUROPE	EUROPE	DON	NL; BE; DE;FR	-999	-999	-999	-999	2005	0	58	-999	preharvest	harvest	feed	maize 	silage	-999	conventional	LC-MS/MS	µg/kg	30	-999	100	-999	-999	-999	575	-999	-999	-999	-999	-999	3083	76	-999	-999	-999	0	0	Asselt, E. D. van et al, 2012
Palumbo	NL; BE; DE;FR	EUROPE	EUROPE	DON	NL; BE; DE;FR	-999	-999	-999	-999	2006	0	70	-999	preharvest	harvest	feed	maize 	silage	-999	conventional	LC-MS/MS	µg/kg	30	-999	100	-999	-999	-999	679	-999	-999	-999	-999	-999	3190	89	-999	-999	-999	0	0	Asselt, E. D. van et al, 2012
Palumbo	NL; BE; DE;FR	EUROPE	EUROPE	DON	NL; BE; DE;FR	-999	-999	-999	-999	2007	0	95	-999	preharvest	harvest	feed	maize 	silage	-999	conventional	LC-MS/MS	µg/kg	30	-999	100	-999	-999	-999	1476	-999	-999	-999	-999	-999	8200	82	-999	-999	-999	0	0	Asselt, E. D. van et al, 2012
Palumbo	LT	EUROPE	EUROPE	DON	LT	-999	-999	-999	-999	2008	1	8	-999	postharvest	3 weeks after ensiling 	feed	maize	silage	-999	conventional	ELISA	µg/kg	100	-999	-999	-999	-999	-999	435	-999	-999	-999	-999	370	500	-999	-999	-999	-999	0	0	Baliukoniene, V. et al, 2012
Palumbo	SK	EUROPE	EUROPE	DON	SK	-999	-999	-999	-999	-999	-999	40	-999	postharvest	6 months after ensiling	feed	maize	-999	-999	-999	ELISA	µg/kg	-999	-999	-999	-999	-999	0.02	0.13	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Biro D et al, 2009
Palumbo	SI	EUROPE	EUROPE	DON	SI	-999	-999	-999	-999	2009	0	18	random	preharvest	harvest	feed	maize	-999	-999	conventional	GC-MS	µg/kg	50	-999	100	-999	12	-999	-999	-999	440	340	-999	-999	920	55.5	-999	-999	-999	0	0	Breda J S et al, 2010 (a)
Palumbo	SI	EUROPE	EUROPE	DON	SI	-999	-999	-999	-999	2007	1	58	random	postharvest	storage	feed	maize	-999	-999	conventional	GC-MS	µg/kg	50	-999	100	-999	12	-999	-999	-999	1355	480	-999	-999	14420	87.9	-999	-999	-999	0	0	Breda J S et al, 2010 (b)
 Ana	PL	Europe	Europe	DON	PL	Warsaw	-999	-999	-999	-999	-999	21	-999	distribution	retail	food	maize	-999	-999	-999	LC-IT-MS/MS	µg/kg	10	-999	25	-999	-999	471	476	-999	-999	349	-999	51	2026	76	-999	-999	-999	0	0	Bryla,et,al(2014)
 Ana	IT	Europe	Europe	DON	IT	Northern	-999	-999	-999	-999	-999	35	random	preharvest	harvest	feed	maize	equine feed	-999	-999	ELISA	µg/kg	-999	-999	-999	-999	-999	400	1000	-999	-999	810	-999	300	1900	37.1	-999	-999	-999	0	1	Caloni,et,al(2012)
 Ana	PT	Europe	Europe	DON	PT	Madeira 	-999	-999	-999	2013	0	4	-999	postharvest	at importation time	food	maize	-999	-999	-999	LC-ESI-MS/MS	µg/kg	49.3	-999	164	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0	1	Camara,et,al(2015)
Palumbo	IT	EUROPE	EUROPE	DON	IT	Emilia Romagna	-999	-999	-999	2009	0	46	-999	pre-harvest	-999	feed	maize	-999	-999	conventional	HPLC	µg/kg	3	-999	10	-999	-999	-999	-999	43	-999	3	-999	-999	266	32.6	-999	-999	-999	0	0	Camardo Leggieri M et al., 2015
Palumbo	IT	EUROPE	EUROPE	DON	IT	Emilia Romagna	-999	-999	-999	2010	0	48	-999	pre-harvest	-999	feed	maize	-999	-999	conventional	HPLC	µg/kg	3	-999	10	-999	-999	-999	-999	72	27	3	-999	-999	428	22.9	-999	-999	-999	0	0	Camardo Leggieri M et al., 2015
Palumbo	IT	EUROPE	EUROPE	DON	IT	Emilia Romagna	-999	-999	-999	2011	0	46	-999	pre-harvest	-999	feed	maize	-999	-999	conventional	HPLC	µg/kg	3	-999	10	-999	-999	-999	-999	19	4	3	-999	-999	55	8.7	-999	-999	-999	0	0	Camardo Leggieri M et al., 2015
Palumbo	ES	EUROPE	EUROPE	DON	ES	Catalonia 	-999	-999	-999	2008	0	65	random	distribution	storage	food	maize	-999	breakfast cereals 	-999	GC-ECD	µg/kg	-999	-999	0.045	-999	-999	-999	-999	-999	0.109	0.093	-999	-999	0.58	-999	-999	-999	-999	0	1	Cano-Sancho, G. et al, 2011
Palumbo	ES	EUROPE	EUROPE	DON	ES	Catalonia 	-999	-999	-999	2008	0	72	random	distribution	storage	food	maize	-999	sweet maize	-999	LC-DAD	µg/kg	-999	-999	0.027	-999	-999	-999	-999	-999	0.114	0.114	-999	-999	0.139	-999	-999	-999	-999	0	1	Cano-Sancho, G. et al, 2011
Palumbo	ES	EUROPE	EUROPE	DON	ES	Catalonia 	-999	-999	-999	2008	0	71	random	distribution	storage	food	maize	-999	maize snaks	-999	GC-ECD	µg/kg	-999	-999	0.066	-999	-999	-999	-999	-999	0.153	0.143	-999	-999	0.304	-999	-999	-999	-999	0	1	Cano-Sancho, G. et al, 2011
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	169	1	1	Cano-Sancho, G. et al, 2012 (a)_10
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_11
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_12
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	white maize flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_13
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	spice flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_14
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	flaked flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_15
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	pre-cooked  yellow flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_16
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	pre-cooked white flour	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_17
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	grits	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	162	1	1	Cano-Sancho, G. et al, 2012 (a)_18
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	white maize grits	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_19
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	fine maize grits	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_20
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	grits	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	510	1	1	Cano-Sancho, G. et al, 2012 (a)_21
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	maize cream	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_22
Palumbo	ES	EUROPE	EUROPE	DON	ES	Lleida 	-999	-999	-999	2009	0	1	random	distribution	-999	food	maize	ethnic	maize cream	-999	HPLC	µg/kg	10	-999	30	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Cano-Sancho, G. et al, 2012 (a)_23
